Text,lebel
آقای رشیدپور من تا هفته NUM۲ بچه‌ام پسر بود و لحظه به دنیا اومدنش دختر شد خداروشکررر😂 😂. شما ببین این وروجک چجوری من و باباش و دکتر رو سر انگشتش چرخوند😂,1
چقدر این دزد باحال بود😁 😁 😁 😁 😁 😁 🌹,1
سلام اگر ممکنه از کلمه سی تی اسکن تو برنامتون استفاده نکنید به نظر جالب نیست مجناب رشید پور,2
شما پول اینترنتت و گوشیت رو هزینه بچت کن,0
آقای رشید پور به روستای ما بن گوشت یخ زده دادن به شورا و دهیار. دو نفری همه را کشیدن بالا. از توابع قزوین,2
۰۰۸ شما خیلی ببخشید با پنج هزار تومان تا کجا میتونی بری که تا دکتر بری عمل کنی اگه محل شما با پنج هزار یا ده هزار خرج این چیزا در میاد آدرس بده بیام اونجا,0
سلام لطفا پیام منو بخونید من دانشجو دانشگاه ازاد خرم اباد هستم و از نظر اقتصادی وضعیت مالی خیلی ضعیفی دارم و دارای معلولیت جسمی هستم.. من به پشتوانه اینکه بهزیستی شهریه رو واریز میکنه رفتم دانشگاه و سه ترمه که شهریه از طرف بهزیستی واریز شده و من درس خوندم اما الان ترم چهارم هستم و به خاطر اینکه بهزیستی پول واریز نکرده به حساب دانشگاه ازاد من رو از درس خوندن منع کردن الان من چ گناهی دارم که یک میلیون چهارصد باید شهریه دانشگاهی رو بدم که دولت باید ان رو پرداخت کنه کل درامد خانوادم در سال NUM۱ میلیون نمیرسه چجوری یک میلیون چهار صد شهریه بدم من با پشتوانه اینکه بهزیستی پول واریز میکنه رفتم دانشگاه مگر نه میرفتیم پی بدبختیم,2
"سلام اقای رشیدپور، به خدا دیگه درشان مردم ایران نیست که دوباره تو صف طویل مایحتاج (گوشت) مانند دوران اوایل انقلاب باشیم،، چرا با این همه ثروت انقدر نیازمند این صفها باشیم،،، یا خدا",2
سلام و خسته نباشین من چند بار براتون پیام دادیم ولی نخ‌وندین اینایی ک این پولو برنده میشن چیکار میکنن که براشون پول ب اسمشون در میاد من تازه ازدواج کردم بخاطره اینکه مادر شوهرم از دنیا رفت برادر شوهرم ک بزرگ بود مارو از خونه بیرون کرد ما پیش پول خونه نداریم بزور جور کردیم ی جایرو پیدا کردیم ولی الان باید از این خونه بلند شیم ولی پولی نداریم لطفا بدون نام,2
سلام آقای رشید پور عزیز شما به اون آقایی که برنده شده_بودند فرمودین کسی تماس میگیره شماره حسابتون را بهش بگین آیا ممکن نیست کسی سوع استفاده کند و حسابش را خالی کند منظورم افراد متغلب است,0
